date,dimension,UDP,TCP,GRE,ICMP
2025-06-09T00:00:00Z,protocol,63.65681,35.854258,0.26941,0.0298
2025-06-16T00:00:00Z,protocol,69.227413,28.362394,2.241622,0.037401
2025-06-23T00:00:00Z,protocol,77.040017,22.463202,0.228651,0.005643
2025-06-30T00:00:00Z,protocol,71.615111,27.830096,0.0,0.005711
2025-07-07T00:00:00Z,protocol,81.186713,18.132174,0.130249,0.206181
2025-07-14T00:00:00Z,protocol,70.195909,28.988223,0.461543,0.060772
2025-07-21T00:00:00Z,protocol,78.223751,21.215594,0.222165,0.079568
2025-07-28T00:00:00Z,protocol,89.952649,9.496958,0.000318,0.016722
2025-08-04T00:00:00Z,protocol,76.831254,22.084796,0.442592,0.342733
2025-08-11T00:00:00Z,protocol,75.875522,22.191642,0.168366,1.342243
2025-08-18T00:00:00Z,protocol,78.658442,20.248018,0.763797,0.061391
2025-08-25T00:00:00Z,protocol,71.271499,6.496805,21.719136,0.02391
2025-09-01T00:00:00Z,protocol,73.62728,25.467621,0.422124,0.036217
2025-09-08T00:00:00Z,protocol,64.403875,34.388475,0.81212,0.021217
2025-09-15T00:00:00Z,protocol,46.591614,53.200897,0.020217,0.010181
2025-09-22T00:00:00Z,protocol,89.563114,9.981708,0.0,0.033823
2025-09-29T00:00:00Z,protocol,64.934763,34.560657,0.319965,0.058891
2025-10-06T00:00:00Z,protocol,75.61901,23.7703,0.432037,0.007826
2025-10-13T00:00:00Z,protocol,46.155851,53.149912,0.328115,0.013637
2025-10-20T00:00:00Z,protocol,96.268007,3.104895,0.0,0.018502
2025-10-27T00:00:00Z,protocol,70.066519,29.171949,0.333094,0.064055
2025-11-03T00:00:00Z,protocol,54.832735,42.713054,0.218956,1.799218
2025-11-10T00:00:00Z,protocol,57.549044,41.985333,0.110841,0.177896
2025-11-17T00:00:00Z,protocol,96.280525,3.302582,0.045118,0.325547
2025-11-24T00:00:00Z,protocol,57.462505,41.315154,0.516472,0.533677
2025-12-01T00:00:00Z,protocol,71.793313,27.45855,0.37061,0.139346
2025-12-08T00:00:00Z,protocol,75.232014,23.333984,1.185167,0.062995
2025-12-15T00:00:00Z,protocol,72.886978,25.354084,0.0,0.051027
2025-12-22T00:00:00Z,protocol,47.367666,52.311857,0.105473,0.062701
2025-12-29T00:00:00Z,protocol,68.49601,31.180971,0.154526,0.035394
2026-01-05T00:00:00Z,protocol,61.910032,36.935779,0.955676,0.017486
2026-01-12T00:00:00Z,protocol,79.939605,17.611726,1.2e-05,0.009805
2026-01-19T00:00:00Z,protocol,73.480831,24.25053,2.096611,0.013264
2026-01-26T00:00:00Z,protocol,80.593449,19.125531,0.108434,0.01594
2026-02-02T00:00:00Z,protocol,60.81015,38.902121,0.071348,0.023725
2026-02-09T00:00:00Z,protocol,58.599156,41.098094,0.0,0.005193
2026-02-16T00:00:00Z,protocol,82.914011,16.695356,0.188341,0.020351
2026-02-23T00:00:00Z,protocol,63.255735,36.445804,0.171904,0.009672
2026-03-02T00:00:00Z,protocol,78.183328,21.500501,0.216418,0.018033
2026-03-09T00:00:00Z,protocol,39.167459,60.767649,0.00167,0.002508
2026-03-16T00:00:00Z,protocol,81.73437,17.752581,0.302959,0.141197
2026-03-23T00:00:00Z,protocol,83.118539,16.650044,0.137144,0.037487
2026-03-30T00:00:00Z,protocol,71.947062,27.597311,0.329909,0.084328
2026-04-06T00:00:00Z,protocol,98.932847,1.022502,0.0,0.004808
2026-04-13T00:00:00Z,protocol,86.925867,12.202701,0.039807,0.78436
2026-04-20T00:00:00Z,protocol,79.385327,20.208727,0.073968,0.280806
2026-04-27T00:00:00Z,protocol,83.846047,16.091488,0.021435,0.00602
2026-05-04T00:00:00Z,protocol,90.54288,9.335482,0.0,0.00981
2026-05-11T00:00:00Z,protocol,87.738073,12.166797,0.03703,0.05373
2026-05-18T00:00:00Z,protocol,81.833338,17.781987,0.272002,0.107044
2026-05-25T00:00:00Z,protocol,84.878396,14.81102,0.214783,0.09103
2026-06-01T00:00:00Z,protocol,91.941046,8.057208,0.0,0.001547
2026-06-08T00:00:00Z,protocol,85.323149,14.66266,0.000133,0.012627
